Unnamed: 0,Komponente,Label
10.0,"Die Redebeiträge machten deutlich: egal welcher demokratischen Partei oder kirchlichem Umfeld oder ?Omas gegen Rechts? man sich zugehörig fühlt, auf die Straße geht man/frau als Mitglied einer starken Zivilgesellschaft mit der klaren Botschaft ???: NIE WIEDER IST JETZT - WIR SIND MEHR ?!",Prämisse
11.0,"Unsere Grundwerte, geprägt von Solidarität, Freiheit, Toleranz, Gerechtigkeit und Gleichheit, bilden das Fundament unserer Überzeugungen und unseres Vereins.",Prämisse
12.0,	Unsere Demokratie ist bedroht. Vielleicht war sie seit Beginn ihres Bestehens noch nie so sehr in Gefahr wie heute. ,Prämisse
13.0,"Jetzt steht Correctiv vor Gericht und die Politik vor einem Dilemma.
",Prämisse
14.0,"Die Würde des Menschen ist unantastbar.
",Prämisse
15.0,"Das Renchtal lebt von Urlaubern, die sich für das Leben in unserer Region interessieren und den Schwarzwald hautnah erleben und kennenlernen möchten. ??
",Prämisse
16.0,"sichtliche Schieflache versetzt (siehe Fotos). Des Weiteren fanden sich Müll und Reste von Silvesterknallern auf dem Friedhof.
",Prämisse
17.0,"Unser Ziel ist es, Rassismus, Rechtsradikalismus, Faschismus und dem allgemeinen Rechtsruck in unserer Stadt und im Umkreis entgegenzutreten.
",Prämisse
18.0,"Politische Bildung und Demokratieförderung gehören genauso zu den Aufgaben wie die kritische Auseinandersetzung mit den Exponaten und ihrer Geschichte. 
",Prämisse
19.0,und Gesicht zeigen,Prämisse
20.0,"Wir stehen für Vielfalt und Demokratie! Unsere Alternative heißt Solidarität!
",Prämisse
21.0,"Die Angriffe von rechts gefährden das, wofür sich Aidshilfe seit Jahrzehnten einsetzt: Ein vielfältiges und solidarisches Miteinander.",Prämisse
22.0, ist und vielleicht immer war.,Prämisse
23.0,"Für uns ist ganz klar: Rassismus, Antisemitismus und jede andere Form von Menschenfeindlichkeit darf keinen Platz haben - nicht hier und nicht anderswo.
",Prämisse
24.0,"die Umfragewerte der AfD bei der Sonntagsfrage bewegen sich weiterhin stabil oberhalb von 20 % und in den ostdeutschen Ländern wie Thüringen, wo 2024 gewählt wird, sogar oberhalb von 30 %. ",Prämisse
25.0,Heute vor 85 Jahren erlebte die Ausgrenzung der Juden durch die Nationalsozialisten in Deutschland den Übergang zu Gewalt und Vernichtung.,Prämisse
26.0,"Wir können Sie nur ermuntern, mitzulaufen und mit Ihrer Teilnahme ein starkes Zeichen für die Werte unserer Demokratie zu setzen und für eine gerechte und offene Gesellschaft einzutreten. ",Prämisse
27.0,Wir wollen Hass keinen Platz in unserer Demokratie anbieten und für eine weltoffene Gesellschaft eintreten.,Prämisse
28.0,"Offenbar weil einige Aussagen nicht auf der Veranstaltung gefallen sind, sondern eine einordnende Bewertung von Correctiv sind.
",Prämisse
29.0,"Menschenfeindkeit, Diskriminierung und die Ablehnung unserer demokratischen Grundordnung haben weder in unserem Museum, noch in unserer Gesellschaft Platz.
",Prämisse
30.0,"Die Veranstaltung am Samstag findet als Reaktion auf das Bekanntwerden des Treffens von AfD-Politikern, Rechtsextremisten und Unternehmern Ende November in Potsdam statt",Prämisse
31.0,"Man darf nicht warten, bis der Freiheitskampf Landesverrat genannt wird.",Prämisse
32.0,"Seitdem sind Millionen Menschen in ganz Deutschland auf die Straße gegangen, für unsere Demokratie und die Freiheiten die sie uns garantiert, für Toleranz und für Vielfalt.",Prämisse
33.0,Das die AfD eine reelle Gefahr für unsere Demokratie ist,Prämisse
34.0,millionenfache Abschiebungen zu veranlassen,Prämisse
35.0,Der Rechtsstaat muss dagegen konsequent und entschlossen vorgehen. Dazu müssen auch verschiedene Gesetze ,Prämisse
36.0,Es gibt nur eine Antwort darauf: Wir alle müssen laut werden und gegen Rassismus auf die Straße gehen.,Prämisse
37.0,"Es kann nichtjüdischen Menschen nicht gleichgültig sein, dass sich in Deutschland Jüdinnen und Juden nicht mehr sicher fühlen und Angst haben, ihren Glauben offen zu zeigen.",Prämisse
38.0,"Noch vor wenigen Jahren war es - von ein paar Ewiggestrigenabgesehen ? unvorstellbar, dass eine Partei salonfähigwird,die in großen Teilen rechtsextrem ist und deren Rhetorik aus dem völkischen Gesangbuch der NSDAP stammen könnte. ",Prämisse
39.0,"Bundespräsident Alexander Van der Bellen hat recht, wenn er von Menschenrechten und Menschenpflichten spricht",Prämisse
40.0,"In unserem Video werfen wir einen Blick auf die Kampagne und auf jene Politiker und Parteien, die hinter der durchsichtigen Hetzkampagne gegen Deutschlands einzige wirkliche Oppositionspartei stecken.",Prämisse
41.0,"Um dem Faschismus und Rechtsextremismus sinnvoll mit den notwendigen Argumenten entgegen treten zu können, ist es unbedingt notwendig, unsere Geschichte zu kennen.
",Prämisse
42.0,Über Jahre hetzt und lügt sich die Afd in die politischen Institutionen.,Prämisse
43.0," Die AfD ist brandgefährlich! Sie ist eine ernsthafte Gefahr für unsere Demokratie und für die gesamte Gesellschaft, ganz besonders aber ",Prämisse
44.0,"In der ganzen Bundesrepublik gingen und gehen Menschen aus der Zivilbevölkerung gemeinsam auf die Straße, um ein Zeichen gegen Deportationspläne, gegen Faschismus und Rassismus, gegen Ausgrenzung sowie gegen die Untergrabung unserer Demokratie zu setzen",Prämisse
45.0,"Wir positionieren uns klar gegen jegliche Form von Rassismus, Diskriminierung und Angriffen auf Grund- und Menschenrechte.
",Prämisse
46.0,"Auslöser dafür war ein Geheimtreffen mit Vertreter*innen der AFD, wobei diese ungeheuerlichen Pläne für unser Land schmiedeten.",Prämisse
47.0,Der 27. Januar steht im Gedenken der Opfer des Nationalsozialismus und für die Befreiung des Konzentrationslagers Ausschwitz.,Prämisse
48.0,Deutschland hat eine historische Verantwortung.,Prämisse
49.0,"der Grundlage gegenseitiger Achtung und Akzeptanz. Das friedliche Zusammenleben von Menschen unterschiedlicher Herkunft, Kultur, Religion und Überzeugungen beginnt vor Ort und daher setzen wir uns hier im Stadtbezirk Chorweiler dafür ein,
-  dass wir uns besser kennen lernen, wir einander zuhören und bereit sind einander zu vertrauen
-   dass die Menschen eine gute Nachbarschaft entwickeln
-  dass wir die Gefühle, Meinungen und Sorgen anderer wahrnehmen und achten
-   dass wir an einem Ort friedlich miteinander leben können, ohne die eigene Identität und die eigenen Uberzeugungen aufgeben zu müssen
-   dass wir Vielfalt als Gewinn begreifen
- dass wir Vielfalt als Gewinn begreifen
-  dass jeder Mensch sicher, würdig und in Freiheit leben kann",Prämisse
50.0,"Nach der Correctiv Recherche über die geheime Konferenz, muss man ernsthaft befürchten, dass künftig die AfD entscheidet, wer Deutscher ist und wer nicht.",Prämisse
51.0,Hass ist allgegenwärtig und malt ein Bild unserer Gesellschaft.,Prämisse
52.0,Kommende Woche trifft sich die FCKAFD in Schortens zu einer Bürgerbrechstunde ,Prämisse
